question_id,question,answer1,answer2,answer3,answer4,total_time
1,Նշվածներից ո՞րը կստեղծի 5 հատ 1-երից կազմված միաչափ numpy array,np.ones(5),np.zeros(5) + 1,"np.full(5, 1)",Նշվածներից բոլորը,60.0
2,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,[6 7 8 9],[6 7 8],[7 8 9],ValueError,60.0
3,"Ի՞նչ չափի զանգված կստացվի, եթե համեմատենք (8, 1) և (8, 4, 3) չափի զանգվածներ","(8, 1)","(8, 8, 3)","(8, 4, 3)",ValueError,60.0
4,"Ի՞նչ չափի զանգված կստացվի, եթե գումարենք (5, 1, 8, 1) և (7, 1, 5) չափի զանգվածներ","(5, 1, 8, 1)","(5, 1, 8, 5)","(5, 7, 8, 5)","(5, 7, 1, 5)",60.0
5,Ո՞ր հրամանով է հնարավոր փոխարինել տրված DataFrame-ի NaN արժեքը 4֊ով,"data.iloc[3, 'Score'] = 4","data.loc[3, 'Score'] = 4","data.iloc[3, 1] == 4",նշվածներից ոչ մեկով,60.0
6,Ո՞ր հրամանն է բաց թողնված,"pd.concat([s1, s2], axis=1)","pd.concat(s1, s2, axis=1)","np.vstack(s1,s2)",s1.append(s2),60.0
7,Ո՞ր հրամանով կարելի է ստանալ df3-ը,"pd.concat([df1, df2])","pd.merge(df1, df2, on=&#x27;պաշտոն&#x27;)","pd.merge(df1, df2)","pd.merge([df1, df2])",60.0
8,"Ի՞նչպես կարելի է df-ից վերցնել այն տողերը, որտեղ աշխատակցի անունը սկսվում է Ա տառով",df[df[&#x27;աշխատակից&#x27;].startswith(&#x27;Ա&#x27;)],df[df[&#x27;աշխատակից&#x27;].str.startswith(&#x27;Ա&#x27;)],df[&#x27;աշխատակից&#x27;].str.startswith(&#x27;Ա&#x27;),df[df[&#x27;աշխատակից&#x27;].str.endswith(&#x27;Ա&#x27;)],60.0
9,"Ի՞նչ չափի զանգված կստացվի, եթե բազմապատկենք (20, 2, 4) և (2, 4) չափի զանգվածներ","(2, 4)","(20, 2, 4)","(20, 4, 2)",ValueError,60.0
10,Նշվածներից ո՞ր հրամանով է հնարավոր հաշվել հետևյալ արտահայտության արժեքը (ATB) -1,A.T @ B,np.inv(A.T @ B),np.linalg.inv(A.T @ B),np.linalg.inv(A @ B.T),60.0
