question_id,question,answer1,answer2,answer3,answer4,total_time
1,"Ի՞նչ չափի զանգված կստացվի, եթե գումարենք (5, 1, 8, 1) և (7, 1, 5) չափի զանգվածներ","(5, 1, 8, 1)","(5, 1, 8, 5)","(5, 7, 8, 5)","(5, 7, 1, 5)",60.0
2,"Ի՞նչ չափի զանգված կստացվի, եթե համեմատենք (8, 1) և (8, 4, 3) չափի զանգվածներ","(8, 1)","(8, 8, 3)","(8, 4, 3)",ValueError,60.0
3,"Ի՞նչ չափի զանգված կստացվի, եթե բազմապատկենք (20, 2, 4) և (2, 4) չափի զանգվածներ","(2, 4)","(20, 2, 4)","(20, 4, 2)",ValueError,60.0
4,Նկարում ո՞ր հրամանն է բացակայում,"a[np.newaxis, ։]",a[None],"a[:, np.newaxis]","a[:, np.newaxis, :]",60.0
5,Նշվածներից ո՞ր հրամանով է հնարավոր հաշվել հետևյալ արտահայտության արժեքը (ATB) -1,A.T @ B,np.inv(A.T @ B),np.linalg.inv(A.T @ B),np.linalg.inv(A @ B.T),60.0
6,"Նշվածներից ո՞ր հրամանը կվերադարձնի a, b՝ 4 x 4 չափսի մատրիցների արտադրյալը","np.matmul(a, b)",a @ b,a.dot(b),Նշվածներից բոլորը,60.0
7,"Ինչպե՞ս կարող ենք գտնել arr երկչափ numpy array-ի (10, 20] միջակայքում եղած թվերի թվաբանական միջինը",np.mean((arr > 10) & (arr <= 20)),arr[(arr > 10) & (arr <= 20)].mean(),arr[(arr > 10) and (arr <= 20)].mean(),arr[(arr > 10) | (arr <= 20)].mean(),60.0
8,Ո՞ր ֆունկցիայի միջոցով է հնարավոր գտնել arr երկչափ array-ի առաջին սյան մեծագույն արժեքի դիրքը (index֊ը),arr.max(axis=0),"arr[:, 0].max(axis=0)","arr[:, 0].argmax()",arr.argmax(axis=0),60.0
9,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,[6 7 8 9],[6 7 8],[7 8 9],ValueError,60.0
10,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,False,True,TypeError,ValueError,60.0
