question_id,question,answer1,answer2,answer3,answer4,total_time
1,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,"Personal id: AP1023, Grade: 95","Grade: 95, Personal id: AP1023",Error,Նշվածներից ոչ մեկը,60.0
2,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,2 1,1 2,Error,Նշվածներից ոչ մեկը,60.0
3,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,B,A,Error,Նշվածներից ոչ մեկը,60.0
4,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,2,10,11,12,60.0
5,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,15,60,30,Error,60.0
6,Նշվածներից ո՞րը CRISP-DM ընթացակարգի 6 փուլերից մեկը չէ,Business Understanding,Business Evaluation,Data preparation,Data understanding,60.0
7,Sklearn գրադարանի միջոցով կարելի է ստանալ ,դասակարգման և ռեգրեսիոն մոդելներ,խմբավորման և չափողականության նվազեցման մոդելներ,խրախուսմամբ սովորող մոդելներ,"ամեն տեսակի մոդել, բացի խրախուսմամբ սովորող մոդելներից",60.0
8,"Estimator տեսակի օբյեկտները պետք է ունենան ___  մեթոդ, որի միջոցով տվյալներից կսովորեն ինչ֊որ գնահատականներ",predict,fit,transform,fit_transform,60.0
9,Նշվածներից ո՞րը Transformer  տեսակի օբյեկտ չէ,IterativeImputer(...),LogisticRegression(...),OneHotEncoder(...),MinMaxScaler(...),60.0
10,Ի՞նչն է սխալ հետևյալ կոդի մեջ,սխալ չկա,fit մեթոդը պետք էր կանչել միայն X_train-ի վրա,fit մեթոդը պետք չէր կանչել X_train-ի վրա,fit մեթոդը պետք չէր կանչել X_test-ի վրա,60.0
