question_id,student_id,correct,time
1,27,1,24.558000000000003
1,30,1,25.974
1,28,1,24.483
1,29,0,20.506999999999998
1,24,0,20.491999999999997
1,23,1,21.011999999999997
1,22,1,44.001000000000005
1,32,0,16.307000000000002
1,1,0,17.413
1,33,0,51.571999999999996
1,19,1,30.409000000000002
1,35,1,42.905
1,18,1,37.188
1,10,0,15.491
1,8,1,23.064
1,11,0,35.796
1,6,1,12.921
1,5,1,21.479
1,14,0,22.895
1,4,1,18.577
1,13,0,20.404
1,34,0,20.859
1,9,0,60.0
1,16,1,34.667
1,21,1,51.309
1,31,1,16.06
1,7,1,11.251
1,2,0,60.0
2,27,1,36.708
2,30,1,30.13
2,28,1,29.765
2,29,1,33.622
2,24,1,24.739
2,23,1,47.211000000000006
2,22,1,40.45
2,32,0,30.03
2,1,1,41.66
2,33,1,39.222
2,19,1,38.524
2,35,0,52.983999999999995
2,18,0,1.209
2,10,1,32.013000000000005
2,8,1,32.994
2,11,0,23.508000000000003
2,6,1,46.405
2,5,1,51.593
2,14,1,28.983
2,4,1,37.753
2,13,1,41.925
2,34,1,24.596999999999998
2,9,0,58.656000000000006
2,16,1,41.276
2,21,1,42.206
2,31,1,33.775
2,7,0,17.385
2,2,0,59.86600000000001
3,27,1,17.322
3,30,0,47.021
3,28,1,28.908
3,29,1,12.145999999999999
3,24,1,9.548
3,23,1,28.353
3,22,1,46.828
3,32,1,18.691
3,1,0,20.840999999999998
3,33,0,33.005
3,19,0,47.09
3,35,0,27.494
3,18,0,39.617
3,10,0,41.799
3,8,0,43.301
3,11,0,19.158
3,6,0,23.864
3,5,1,53.317
3,14,1,10.048
3,4,0,22.506999999999998
3,13,0,36.038000000000004
3,34,1,12.413
3,9,0,17.805999999999997
3,16,0,55.711000000000006
3,21,1,43.574
3,31,1,29.866999999999997
3,7,0,15.835999999999999
3,2,0,17.435
4,27,1,35.999
4,30,1,28.869
4,28,0,42.271
4,29,1,20.81
4,24,1,19.118
4,23,1,52.213
4,22,1,41.507
4,32,1,30.155
4,1,1,38.875
4,33,0,27.221
4,19,0,25.076
4,35,1,40.748000000000005
4,18,1,38.176
4,10,1,39.751
4,8,0,38.542
4,11,1,19.974
4,6,0,26.737
4,5,1,44.258
4,14,1,21.478
4,4,1,42.549
4,13,1,38.078
4,34,1,18.331
4,9,0,12.27
4,16,1,43.463
4,21,1,46.986999999999995
4,31,1,23.694000000000003
4,7,0,23.233
4,2,0,11.095
