question_id,question,answer1,answer2,answer3,answer4,total_time
1,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,1 7,1 5,2 7,2 5,60.0
2,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,Error,3,5,Նշվածներից ոչ մեկը,60.0
3,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,Louise,Sally,Person,Նշվածներից ոչ մեկը,60.0
4,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,New,Old,Error,Նշվածներից ոչ մեկը,60.0
5,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,50,5000,Error,500,60.0
6,Նշվածներից ո՞րն է սկբնարժեքավորող մեթոդի ճիշտ սահմանման եղանակ,"def __init__(title, author):","def __init__(self, title, author):",def __init__():,"__init__(self, title, author):",60.0
7,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,"title Ռանչպարների կանչը, author Խաչիկ Դաշտենց","author: Խաչիկ Դաշտենց, title: Ռանչպարների կանչը","title: Խաչիկ Դաշտենց, author: Ռանչպարների կանչը","title: Ռանչպարների կանչը, author: Խաչիկ Դաշտենց",60.0
8,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,Ցտեսություն,Ողջույն,ցտեսություն,Error,60.0
9,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,count.test = 0 k = 25,count.test = 0 k = 0,count.test = 25 k = 0,Error,60.0
10,Ի՞նչ կլինի հետևյալ կոդի արդյունքը,"Error, որովհետև օբյեկտը ճիշտ րի սահմանված",first method,"Error, որովհետև չկա __init__ մեթոդ",Նշվածներից որ մեկը,60.0
