question_id,student_id,correct,time
1,28,0,60.0
1,27,0,46.12
1,30,0,17.279
1,29,0,20.011
1,24,0,29.496
1,23,0,18.041
1,22,0,24.254
1,32,0,39.241
1,1,0,39.075
1,33,0,34.177
1,19,0,17.419
1,35,0,30.142
1,10,0,23.184
1,8,0,40.113
1,11,0,21.011999999999997
1,6,0,20.441
1,5,0,18.585
1,14,0,17.311
1,4,0,34.830999999999996
1,34,0,23.983
1,3,0,14.575
1,16,0,44.288999999999994
1,21,0,42.967
1,17,0,19.129
1,26,0,20.853
1,31,0,24.554000000000002
1,7,0,25.788
1,2,0,16.937
2,28,1,35.653
2,27,1,45.286
2,30,1,30.096
2,29,1,52.428999999999995
2,24,0,26.289
2,23,1,28.296999999999997
2,22,1,52.035
2,32,1,47.067
2,1,0,48.641000000000005
2,33,1,50.41
2,19,1,32.855
2,35,1,39.641
2,10,1,26.098000000000003
2,8,1,25.483
2,11,1,21.561
2,6,1,14.472000000000001
2,5,0,51.317
2,14,1,32.735
2,4,1,40.836
2,34,0,27.684
2,3,1,25.48
2,16,1,50.666000000000004
2,21,1,41.506
2,17,1,19.892
2,26,1,25.241
2,31,1,23.699
2,7,1,40.876999999999995
2,2,1,27.616999999999997
3,28,1,42.684
3,27,1,34.998000000000005
3,30,1,18.090999999999998
3,29,1,12.911
3,24,1,25.279
3,23,1,16.195999999999998
3,22,1,18.472
3,32,1,46.893
3,1,1,24.494
3,33,1,32.567
3,19,1,31.191
3,35,1,21.68
3,10,1,10.36
3,8,1,27.18
3,11,0,36.814
3,6,1,16.199
3,5,1,35.368
3,14,1,14.786
3,4,1,12.687000000000001
3,34,1,28.346999999999998
3,3,1,10.785
3,16,1,30.594
3,21,1,15.478
3,17,1,16.083
3,26,1,11.732000000000001
3,31,1,22.735
3,7,1,21.656999999999996
3,2,1,17.602
4,28,1,22.664
4,27,1,27.996
4,30,0,55.997
4,29,1,25.669
4,24,1,34.006
4,23,1,37.681999999999995
4,22,0,19.983
4,32,1,41.81
4,1,0,22.674
4,33,1,25.421999999999997
4,19,1,37.507
4,35,1,22.403000000000002
4,10,0,22.813000000000002
4,8,1,26.184
4,11,0,35.262
4,6,1,19.537
4,5,1,41.71
4,14,1,24.249000000000002
4,4,0,55.361999999999995
4,34,0,34.585
4,3,0,18.19
4,16,1,22.022
4,21,0,35.516999999999996
4,17,1,9.526
4,26,1,19.837
4,31,1,18.605
4,7,1,33.531
4,2,1,20.058
5,28,0,51.181000000000004
5,27,1,18.375999999999998
5,30,1,19.779
5,29,1,26.303
5,24,1,47.355
5,23,1,13.935
5,22,1,23.328000000000003
5,32,1,20.726
5,1,0,34.992
5,33,1,29.166
5,19,0,17.029
5,35,1,24.07
5,10,1,10.765999999999998
5,8,0,21.29
5,11,0,29.65
5,6,0,12.460999999999999
5,5,0,36.44
5,14,0,29.739
5,4,0,11.511
5,34,1,47.086000000000006
5,3,1,17.113
5,16,0,39.347
5,21,0,28.351
5,17,1,11.765999999999998
5,26,1,16.641
5,31,1,12.765999999999998
5,7,0,12.571
5,2,0,14.571
6,28,1,28.559
6,27,1,15.030999999999999
6,30,1,10.812999999999999
6,29,1,32.472
6,24,1,23.093000000000004
6,23,1,10.415
6,22,1,20.212
6,32,1,16.852
6,1,1,26.398000000000003
6,33,1,13.675999999999998
6,19,1,18.727999999999998
6,35,1,21.938000000000002
6,10,1,9.157
6,8,1,18.109
6,11,1,19.783
6,6,1,27.291999999999998
6,5,1,15.488
6,14,1,28.598000000000003
6,4,1,22.921
6,34,1,21.13
6,3,1,21.909000000000002
6,16,1,22.228
6,21,0,24.784000000000002
6,17,1,10.537
6,26,1,16.11
6,31,1,17.947
6,7,1,23.865
6,2,1,8.829
7,28,1,44.277
7,27,0,33.443000000000005
7,30,1,33.861999999999995
7,29,1,40.864000000000004
7,24,0,39.984
7,23,1,34.931
7,22,1,57.174
7,32,0,34.285
7,1,0,57.556999999999995
7,33,1,41.431000000000004
7,19,1,52.761
7,35,1,49.28
7,10,0,19.901
7,8,1,41.073
7,11,1,30.805999999999997
7,6,1,37.555
7,5,0,37.58
7,14,1,41.608000000000004
7,4,0,41.226000000000006
7,34,0,40.041
7,3,1,30.706
7,16,1,47.836000000000006
7,21,0,45.79
7,17,0,15.048
7,26,1,19.52
7,31,1,38.475
7,7,1,27.414
7,2,1,23.118000000000002
8,28,0,40.421
8,27,1,37.406
8,30,0,34.688
8,29,1,38.647
8,24,1,17.528
8,23,1,48.832
8,22,1,57.626000000000005
8,32,1,37.903
8,1,0,45.004
8,33,0,47.408
8,19,1,45.396
8,35,1,43.906000000000006
8,10,0,14.354000000000001
8,8,0,32.772
8,11,1,25.189
8,6,0,14.079
8,5,0,35.874
8,14,1,27.498
8,4,0,60.0
8,34,1,18.112000000000002
8,3,1,24.480999999999998
8,16,1,47.623999999999995
8,21,0,55.833999999999996
8,17,1,21.933000000000003
8,26,1,16.633
8,31,0,23.78
8,7,0,14.640999999999998
8,2,0,31.809
9,28,0,60.0
9,27,1,54.312
9,30,0,48.827
9,29,1,49.683
9,24,1,27.144000000000002
9,23,0,55.236999999999995
9,22,0,60.0
9,32,1,54.643
9,1,1,59.607
9,33,0,51.778
9,19,0,55.881
9,35,0,57.161
9,10,0,14.046
9,8,0,60.0
9,11,0,20.17
9,6,0,56.184
9,5,0,58.195
9,14,0,36.455
9,4,0,52.693999999999996
9,34,1,27.467
9,3,0,24.959
9,16,0,51.839
9,21,0,55.435
9,17,1,33.789
9,26,1,25.1
9,31,1,50.422
9,7,0,17.709
9,2,0,60.0
10,28,0,54.343999999999994
10,27,1,54.79600000000001
10,30,0,50.852
10,29,0,48.0
10,24,0,47.145
10,23,1,57.806999999999995
10,22,1,11.949000000000002
10,32,1,40.192
10,1,0,53.282
