question_id,question,answer1,answer2,answer3,answer4,total_time
1,Ի՞նչ կլինի հետևյալ հրամանի արդյունքում,"(3, 3)","(1, 3)","(3, )","(3, 1)",60.0
2,Ո՞ր հրամանն է բաց թողնված,"df = pd.concat([s1, s2], axis=1)","df = pd.hstack([s1, s2], axis=1)","df = pd.vstack([s1, s2], axis=1)","df = pd.merge([s1, s2], axis=1)",60.0
3,Ո՞ր հրամանն է բաց թողնված,"pd.concat([s1, s2], axis=1)","pd.concat(s1, s2, axis=1)","np.vstack(s1,s2)",s1.append(s2),60.0
4,Ո՞ր հրամանն է բաց թողնված,"data.fillna(method=&#x27;ffill&#x27;, inplace=False)","data.fillna(method=&#x27;ffill&#x27;, inplace=True)","data.fillna(method=&#x27;bfill&#x27;, inplace=True)","data.fillna(1, inplace=True)",60.0
5,Ո՞ր հրամանով կարելի է ստանալ df3-ը,"pd.concat([df1, df2])","pd.merge(df1, df2, on=&#x27;պաշտոն&#x27;)","pd.merge(df1, df2)","pd.merge([df1, df2])",60.0
6,Ո՞ր հրամանով կարելի է ստանալ df3-ը,"pd.merge(df1, df2, how=&#x27;outer&#x27;)","pd.merge(df1, df2, left_on=&#x27;աշխատակից&#x27;, right_on=&#x27;անուն&#x27;, how=&#x27;inner&#x27;)","pd.merge(df1, df2, right_on=&#x27;աշխատակից&#x27;, left_on=&#x27;անուն&#x27;, how=&#x27;inner&#x27;)","pd.merge(df1, df2, left_on=&#x27;աշխատակից&#x27;, right_on=&#x27;անուն&#x27;, how=&#x27;outer&#x27;)",60.0
7,Ո՞ր հրամանով կարելի է ստանալ df3-ը,"pd.merge(df1, df2, left_on=&#x27;պաշտոն&#x27;, right_on=&#x27;անուն&#x27;, how=&#x27;inner&#x27;)","pd.merge(df1, df2, left_index=True, right_on=&#x27;անուն&#x27;, how=&#x27;outer&#x27;)","pd.merge(df1, df2, left_index=True, right_on=&#x27;անուն&#x27;, how=&#x27;inner&#x27;)","pd.merge(df1, df2, right_index=True, left_on=&#x27;անուն&#x27;, how=&#x27;inner&#x27;)",60.0
8,Տրված է df-ը։ Ո՞ր հրամանով կարելի է ստանալ ըստ պաշտոնների միջին աշխատավարձը,df[&#x27;պաշտոն&#x27;].mean(),df.groupby(&#x27;պաշտոն&#x27;).mean(),df[&#x27;աշխատավարձ&#x27;].mean(),df.groupby(&#x27;աշխատավարձ&#x27;).mean(),60.0
9,"Ի՞նչպես կարելի է df-ից վերցնել այն տողերը, որտեղ աշխատակցի անունը սկսվում է Ա տառով",df[df[&#x27;աշխատակից&#x27;].startswith(&#x27;Ա&#x27;)],df[df[&#x27;աշխատակից&#x27;].str.startswith(&#x27;Ա&#x27;)],df[&#x27;աշխատակից&#x27;].str.startswith(&#x27;Ա&#x27;),df[df[&#x27;աշխատակից&#x27;].str.endswith(&#x27;Ա&#x27;)],60.0
10,Ինչպե՞ս կարելի է փոխարինել df-ի բոլոր սյուների a տառերը ա֊ով,"df = df.apply(lambda x: x.replace(&#x27;a&#x27;, &#x27;ա&#x27;))","df = df.apply(lambda x: x.replace(&#x27;ա&#x27;, &#x27;a&#x27;))","df = df.apply(lambda x: x.str.replace(&#x27;ա&#x27;, &#x27;a&#x27;))","df = df.apply(lambda x: x.str.replace(&#x27;a&#x27;, &#x27;ա&#x27;))",60.0
