question_id,question,answer1,answer2,answer3,answer4,total_time
1,Նշվածներից ո՞րն է տվյալների պատկերման գրադարան Python-ում,Pandas,Seaborn,Numpy,Sklearn,30.0
2,Նշվածներից ո՞րն է տվյալների մաքրման գործընթացի մաս,թերի թվյալների հեռացում,outlier-ների հեռացում,տառասխալների ուղղում,նշվածներից բոլորը,60.0
3,Ի՞նչ է այս գծապատկերի անվանումը,Box plot,Histogram,Basket plot,Scatter plot,30.0
4,Ո՞նց է կոչվում վեբ կայքերի HTML կոդից տվյալներ հավաքագրելու գործընթացը,Web Collection,Web Cleaning,Web Scrapping,Web Scoring,30.0
5,Python-ում նշված ծրագրային գրադարաններից ո՞րը կապ չունի web scrapping-ի հետ,BeautifulSoup,Selenium,sklearn,requests,30.0
6,Որո՞նք են մեքենայական ուսուցման 3 հիմնական ենթախմբերը,"Supervised learning, unsupervised learning and classification methods","Regression algorithms, classification methods and clustering","Supervised learning, unsupervised learning and reinforcement learning","Classification, regression, unsupervised and reinforcement learning",60.0
7,"Համալսարանում 1621 ուսանողի հարցման արդյունքում պարզ դարձավ, որ նրանցից 461֊ը չգիտեն ռեկտորի անունը։ Ո՞րն է population-ը",Համալսարանի բոլոր ուսանողները,հարցմանը մասնակցած 1621 ուսանողները,ռեկտորի անունը չիմացող 461 ուսանողները,Տվյալ երկրի բոլոր ուսանողները,60.0
8,"ԱՄՆում 1 երեխա ունեցող 1000 ընտանիքների հարցման արդյունքում պարզվել է, որ նրանցից 874ը ունեն գոնե 2 համակարգիչ։ Sample-ը ",ԱՄՆ-ի բնակչությունն է,ԱՄՆ֊ի բնակչության 1 երեխա ունեցող բոլոր ընտանիքներն են,1 երեխա և գոնե 2 համակարգիչ ունեցող 874 ընտանիքներն են,1 երեխա ունեցող 1000 ընտանիքներն են,60.0
9,Ձեր աշխատանքը անմիջական կապ ունի՞ տվյալագիտության հետ,"Այո, ես ML Engineer եմ","Այո, ես Data Scientist եմ","Այո, ես Data Analyst եմ",աշխատում եմ չաշխատել,60.0
10,Ինչու՞ եք գտնվում այս լսարանում,Դիպլոմի համար,Բարձր վարձատրվող աշխատանքի համար,Որպեսզի սովորեմ սովորել,Շփոթել եմ լսարանը,60.0
